Date,<7000,7000-8000,8000-9000,9000-10000,10000-11000,11000-12000,>12000,total
2025-10-01,0.0,0.0,0.0,1.5722475765755917e-08,6.146952364360914e-05,0.0004354753182269,0.0011999813141301,4.939687278238125e-05
2025-10-02,0.0,0.0,0.0,0.0,1.1319408258714247e-05,0.0001686274335952,0.0004530542355496,1.7803657101467252e-05
2025-10-03,0.0,0.0,0.0,1.6095038517960347e-05,0.0007052096188999,0.0015207451069727,0.0020092816557735,0.0001929626887431
2025-10-04,2.452420176268788e-06,0.0007247093599289,0.0031729550100862,0.0049383188597857,0.0067250719293951,0.0088795768097043,0.0096567254513502,0.0024330432061105
2025-10-05,4.330527936247108e-09,6.619334453716874e-05,0.0006711619789712,0.0018871288048103,0.0050400425679981,0.0083394516259431,0.0095379147678613,0.0014635166153311
2025-10-06,0.0,0.0,1.1031743269995786e-06,8.783279918134212e-05,0.0022116045001894,0.0061740376986563,0.0084169916808605,0.000728269747924
2025-10-07,0.0,0.0,2.072648053186299e-09,8.581877409596927e-06,0.0007433062419295,0.0032764042261987,0.0061793690547347,0.0003629483690019
2025-10-08,0.0,0.0,0.0,1.9519559373293305e-06,0.0002461542899254,0.0013693324290215,0.0038534274790436,0.0001615558430785
2025-10-09,0.0,0.0,0.0,1.0538646399993468e-08,9.990813850890844e-05,0.0007994916522875,0.002372863702476,9.16241406230256e-05
2025-10-10,0.0,0.0,0.0,2.0473165385226366e-09,4.233450090396218e-05,0.0004790759412571,0.0012766018044203,5.140694338479079e-05
2025-10-11,0.0,0.0,0.0,7.581996697147986e-10,2.952954855572898e-05,0.0003923874464817,0.0009637830662541,4.058079866808839e-05
2025-10-12,0.0,0.0,0.0,7.581996697147986e-10,2.952954855572898e-05,0.0003923874464817,0.0009637830662541,4.058079866808839e-05
2025-10-13,0.0,0.0,0.0,7.581996697147986e-10,2.952954855572898e-05,0.0003923874464817,0.0009637830662541,4.058079866808839e-05
2025-10-14,0.0001533411996206,0.0069500277750194,0.0146529171615839,0.0155973620712757,0.0175083465874195,0.021730076521635,0.0240366235375404,0.0080919647589325
2025-10-15,0.0101533867418766,0.0355020053684711,0.0423994772136211,0.0445018038153648,0.0506599992513656,0.0620603114366531,0.0678397640585899,0.0296455677598714
2025-10-16,0.0093259867280721,0.0353975445032119,0.0424719117581844,0.044657539576292,0.0508238226175308,0.0621745660901069,0.0678949579596519,0.0293118357658386
2025-10-17,0.0064513315446674,0.0316088460385799,0.0409029237926006,0.0442966483533382,0.0508078597486019,0.0621744319796562,0.0678949579596519,0.0272819977253675
2025-10-18,0.0019161331001669,0.0208996497094631,0.0327211879193782,0.0384614169597625,0.0471836999058723,0.0601376444101333,0.0666642114520073,0.0216138046234846
2025-10-19,0.0001223041617777,0.007376717403531,0.0174215547740459,0.0253595691174268,0.0360196083784103,0.0508941635489463,0.0586204938590526,0.0137628791853785
2025-10-20,7.632006600033492e-06,0.0022021161857992,0.0073854667134583,0.0141968950629234,0.0257431976497173,0.0413120798766613,0.050088956952095,0.0087102279067039
2025-10-21,3.525822478422924e-08,0.0002317191829206,0.002191195031628,0.0060255671851336,0.0147118847817182,0.0308624934405088,0.0410072617232799,0.0049615046009421
2025-10-22,0.0,3.7681666071875952e-06,0.000303746870486,0.0022963709197938,0.0087815495207905,0.0242046378552913,0.0355863086879253,0.0031767135951668
2025-10-23,0.0,2.0119687178521417e-06,0.0003173899312969,0.0033783523831516,0.0137109728530049,0.031663853675127,0.0435482338070869,0.0043626804836094
2025-10-24,0.0,8.998717930808198e-07,5.590965520241298e-05,0.0016213903436437,0.0105079114437103,0.0294221602380275,0.0425012074410915,0.003652608487755
2025-10-25,0.0,1.309585911934974e-10,7.906082828412764e-06,0.0004854583239648,0.0063822814263403,0.023648701608181,0.037730187177658,0.0026813934091478
2025-10-26,0.0,0.0,3.742284889085568e-06,0.0002713090216275,0.0050850138068199,0.0214255638420581,0.0360559411346912,0.0023662587627768
2025-10-27,0.0,0.0,1.7876255924420548e-06,0.0001781721948646,0.0042502675205469,0.019805310294032,0.0347854010760784,0.0021542615722864
2025-10-28,0.0,0.0,4.324023450408277e-07,5.9948379202978685e-05,0.002372070448473,0.0147727411240339,0.0301073212176561,0.001575447502546
2025-10-29,0.0,0.0,1.2435886986850164e-08,1.7984242731472477e-05,0.0010890263365581,0.0094149569049477,0.0237172823399305,0.0010192599147558
2025-10-30,0.0,0.0,0.0,5.589527518168325e-06,0.0005694016581401,0.0063618090935051,0.0198421459645032,0.0007207100861705
2025-10-31,0.0,0.0,0.0,1.912601192088914e-06,0.0002632800606079,0.0040756724774837,0.0162819754332304,0.0004973005270585
2025-11-01,0.0,0.0,0.0,9.04423870906612e-07,8.219814480980858e-05,0.0022655711509287,0.0124242538586258,0.0003132234851364
2025-11-02,0.0,0.0,0.0,5.075704123669311e-08,1.9520017303875647e-05,0.0010990086011588,0.0082932142540812,0.0001787634246284
2025-11-03,0.0,0.0,0.0,0.0,5.230213901086245e-06,0.0006744308630004,0.0063159838318824,0.0001246441097464
2025-11-04,0.0,0.0,0.0,0.0,4.639898634195561e-06,0.0005916659138165,0.0058373562060296,0.0001131186290876
2025-11-05,0.0,0.0,0.0,0.0,4.091758455615491e-06,0.000486974400701,0.0050002713687717,9.561656042933464e-05
2025-11-06,1.2849897361444372e-11,7.084355729602976e-06,0.0001618653623154,0.0015247234841808,0.0025004912167787,0.002581788226962,0.0073516345582902,0.0007059442577883
