Date,<7000,7000-8000,8000-9000,9000-10000,10000-11000,11000-12000,>12000,total
2025-10-25,0.0,1.5297133870717516e-07,1.2137040812376654e-06,6.271177426242502e-06,1.0871703125303611e-05,2.3305912691284902e-05,2.621947533043567e-05,3.815556738118175e-06
2025-10-26,0.0,4.5850011787251794e-08,6.186600103319506e-07,4.977965090802172e-06,9.21444097912172e-06,2.0419267457327805e-05,2.215664972027298e-05,3.17316198561457e-06
2025-10-27,0.0,7.298207371775334e-09,2.654429920312396e-07,3.290243284936878e-06,7.285609626705991e-06,1.8395427105133425e-05,1.973661528609228e-05,2.5723072667460656e-06
2025-10-28,0.0,1.2720930975262943e-09,8.439682375183113e-08,1.7741311921781744e-06,5.055483597971033e-06,1.4978722902014852e-05,1.6343185052392073e-05,1.8868150846174103e-06
2025-10-29,0.0,2.180209815851389e-13,2.4168642198674213e-08,9.009178256746964e-07,3.432582616369473e-06,1.1823641216324177e-05,1.388436521665426e-05,1.3821279480907831e-06
2025-10-30,0.0,1.2112278411149926e-13,7.722942285681711e-09,4.160317246260093e-07,2.407438159934827e-06,9.425421012565494e-06,1.1981559509877115e-05,1.0435352351123584e-06
2025-10-31,0.0,0.0,3.714380192310074e-10,1.387478931746955e-07,1.4510653727484168e-06,6.743434369127499e-06,9.655615940573624e-06,7.143477773752238e-07
2025-11-01,0.0,0.0,0.0,4.780692819394972e-08,1.0014512099587591e-06,5.1449974307615776e-06,8.102564606815577e-06,5.370699227569276e-07
2025-11-02,0.0,0.0,0.0,1.0645448966783988e-08,6.191369266161928e-07,3.698192813317291e-06,6.288934400799917e-06,3.794420138092393e-07
2025-11-03,0.0,0.0,0.0,1.205067046150532e-09,3.978273639404506e-07,2.927787136286497e-06,5.214422799326712e-06,2.937532315172575e-07
2025-11-04,0.0,0.0,0.0,7.61723017994597e-10,3.17252926151923e-07,2.481177943991497e-06,4.219648417347344e-06,2.445466691369802e-07
2025-11-05,0.0,0.0,0.0,4.010694554246186e-10,2.144197281950256e-07,1.7315030618192395e-06,2.736722308327444e-06,1.6738565022933474e-07
2025-11-06,0.0,3.328408881841937e-09,9.492717367720617e-08,5.066699486633297e-07,6.862078407721128e-07,1.4901178246873314e-06,1.7099102933570975e-06,2.578707665179536e-07
2025-11-07,0.0,0.0,1.0210027268087174e-09,5.5535327447842064e-08,3.005931432653597e-07,9.389549404659192e-07,1.0947409236905514e-06,1.1021343482298108e-07
2025-11-08,0.0,0.0,0.0,3.6909464373735535e-10,1.0827718455175273e-07,5.699387770619069e-07,7.837930411369598e-07,5.721430795802007e-08
2025-11-09,0.0,0.0,0.0,2.3683779937222477e-10,5.5489589811941193e-08,2.799015135224181e-07,5.038614858676738e-07,2.980958768716846e-08
2025-11-10,0.0,0.0,0.0,7.848897920492702e-11,1.857112152947593e-08,1.266198523808271e-07,3.524329201809451e-07,1.4422252725410093e-08
2025-11-11,0.0,0.0,0.0,0.0,9.047376181570144e-10,6.388714979266298e-08,2.83421627500502e-07,7.794274559103087e-09
2025-11-12,0.0,0.0,0.0,0.0,1.77375947263414e-10,4.3908414681936854e-08,2.366021618627201e-07,5.8375326794646315e-09
2025-11-13,0.0,0.0,0.0,0.0,8.581215599212655e-11,2.7284375647695924e-08,1.801453493044392e-07,4.0390473188267614e-09
2025-11-14,0.0,2.328391257577776e-09,3.026234480785206e-07,4.685021849581972e-06,1.1661299140541814e-05,1.4597671906813048e-05,1.642087590880692e-05,2.871272272386705e-06
2025-11-15,2.2717814296413508e-09,3.942981834370585e-07,5.377980414777994e-06,2.115398456226103e-05,3.136615123366937e-05,3.1101106287678704e-05,3.1992734875530005e-05,8.710333531780634e-06
2025-11-16,6.960296922153829e-11,2.158014353881299e-07,3.828879926004447e-06,2.001347820623777e-05,3.3772714232327417e-05,3.835340612567961e-05,4.287965566618368e-05,9.189154297928326e-06
2025-11-17,6.023070909577655e-06,2.142619814549107e-05,2.5531819119350985e-05,4.085551336174831e-05,5.455887367133983e-05,5.887857696507126e-05,6.225943798199296e-05,2.34780200116802e-05
2025-11-18,1.283199162571691e-05,4.022417851956561e-05,4.589304080582224e-05,6.313674384728074e-05,7.905578968347982e-05,8.326998795382679e-05,8.395279292017221e-05,3.844565435429104e-05
2025-11-19,1.315699682891136e-05,4.116265699849464e-05,4.697596887126565e-05,6.469568324973807e-05,8.068107854342088e-05,8.494158828398213e-05,8.56094848131761e-05,3.9324149838648736e-05
2025-11-20,1.3000751096114982e-05,4.097141572856344e-05,4.670618363888934e-05,6.440930155804381e-05,8.043585694395006e-05,8.467098086839542e-05,8.5295076132752e-05,3.911538078682497e-05
2025-11-21,1.573718327563256e-05,4.698358316090889e-05,5.268806489766576e-05,7.048543920973316e-05,8.66180780576542e-05,9.068246436072512e-05,9.141938789980486e-05,4.367599831311964e-05
2025-11-22,4.365853328636149e-06,2.8119991839048453e-05,4.904940578853712e-05,6.941025640117005e-05,8.597171836299822e-05,9.50339381233789e-05,9.781959670362994e-05,3.58071229129564e-05
2025-11-23,3.179002987963031e-06,2.634948759805411e-05,4.798187001142651e-05,6.84077458572574e-05,8.475057256873697e-05,9.338692325400189e-05,9.577826131135224e-05,3.453728641034104e-05
2025-11-24,2.807432110785157e-06,2.562500958447345e-05,4.7246805479517207e-05,6.743908306816593e-05,8.357177284779027e-05,9.197185863740742e-05,9.378402319271116e-05,3.383637886145152e-05
2025-11-25,2.048095666395966e-06,2.375697295065038e-05,4.6062166802585125e-05,6.628088158322498e-05,8.221450116252527e-05,8.997555414680392e-05,8.988954505184665e-05,3.265352643211372e-05
2025-11-26,1.4889278645568993e-06,2.1610958356177434e-05,4.4675518438452855e-05,6.473874964285642e-05,8.036191138671711e-05,8.756829629419371e-05,8.587543561588973e-05,3.1376890547107905e-05
2025-11-27,1.0445741054354585e-06,1.949578290805221e-05,4.341582098277286e-05,6.364412547554821e-05,7.918204210000113e-05,8.609566430095583e-05,8.397889178013429e-05,3.0377635994227603e-05
2025-11-28,6.070185918360949e-07,1.6416886865044944e-05,4.146522769588046e-05,6.220885552465916e-05,7.792386168148369e-05,8.481837721774355e-05,8.250903192674741e-05,2.9138092941138893e-05
2025-11-29,1.2425513205016614e-06,2.224342279077973e-05,4.712257577921264e-05,6.91189561621286e-05,8.37232728372328e-05,8.845711272442713e-05,8.136816177284345e-05,3.2510608434677124e-05
2025-11-30,7.352409738814458e-07,2.052212948910892e-05,4.6213073801482096e-05,6.823726289439946e-05,8.262987830676138e-05,8.710997644811869e-05,7.968323916429654e-05,3.162333450745791e-05
2025-12-01,5.285702968649275e-07,1.8786671716952696e-05,4.495965549722314e-05,6.68413849780336e-05,8.052300836425275e-05,8.264206553576514e-05,7.313685637200251e-05,3.040361116291024e-05
2025-12-16,3.3239729191336664e-08,3.405330517125549e-06,2.422311263217125e-05,5.567139669437893e-05,6.506506178993732e-05,5.960991984466091e-05,4.516815897659399e-05,2.090858106384985e-05
