Date,<7000,7000-8000,8000-9000,9000-10000,10000-11000,11000-12000,>12000,total
2025-10-01,0.0,0.0,0.0,0.0,0.0,4.8904374608514434e-05,0.0014784777340634,0.0014108306956385
2025-10-02,0.0,0.0,0.0,0.0,0.0,4.8904374608514434e-05,0.0014784777340634,0.0014108306956385
2025-10-03,0.0,0.0,0.0,0.0056589265521274,0.0152881268998477,0.0107138566812578,0.0045040908238364,0.0356116788800451
2025-10-04,0.0011401050039944,0.0527342034056905,0.4514364478528271,1.0244287113706094,2.118658788553872,2.435097077451178,0.5443858411763262,6.547813527706306
2025-10-05,0.0,8.715406630924142e-05,0.0327176662461786,0.3065269447885163,1.5838829821992306,2.2433862311203483,0.508970461046751,4.600838813558203
2025-10-06,0.0,2.3115599207592404e-06,0.0033550665465766,0.1119251443520798,1.2094780354090835,2.081900850952916,0.4933727773395978,3.830031162173261
2025-10-07,0.0,0.0,0.0005059506199572,0.0325800099616814,0.8036643809969716,1.8835748095770253,0.4802712804535893,3.1359607270213403
2025-10-08,0.0,0.0,2.3175946698368893e-07,0.0104836974489235,0.4266090257698203,1.4276664396403835,0.4323081152515931,2.243613388615804
2025-10-09,0.0,0.0,0.0,0.0002322002182649,0.071642055387085,0.4747610562674506,0.2108651767200376,0.7348084118645052
2025-10-10,0.0,0.0,0.0,0.0,0.0008536680063494,0.0249873186372829,0.0184285860982431,0.0425148897153378
2025-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,0.4447146735319092,1.0302383367404275,1.0841835865614289,1.2513783923195607,0.8120274502831143,0.4801071129457683,0.0881016065220707,5.184927802366489
2025-10-15,19.412436368827866,17.551658918987158,15.646710259224928,15.276799604969383,9.659173435587997,6.0327907872351725,1.1959444054151358,84.76221484360171
2025-10-16,12.243691925574842,16.12777775377489,16.79632773545892,16.696500163812885,11.782265926860775,8.795987692523894,1.781540050390361,84.10017633202933
2025-10-17,9.190892073868952,14.921573576861254,16.20076041889698,16.272978944996247,11.468918224076791,8.56785885413344,1.7182254392413243,78.210427809968
2025-10-18,6.076062932450041,12.280303730794536,14.343736972869152,14.827299557939051,10.590146670871771,8.007932570409839,1.5831438311527084,67.57132100973118
2025-10-19,2.6515133375288094,8.408442852998178,11.519518873860216,12.907825679168235,9.724204459325437,7.68486779618333,1.5171522730157774,54.25104491605387
2025-10-20,1.1345476743450165,5.290017160775185,7.735090887232869,9.551378974202084,7.588636239776249,6.875700851623632,1.3843414165548693,39.39341520896623
2025-10-21,0.2810490111042508,3.033527932914019,5.52556745761098,7.66094603900032,6.359602453765822,6.325553979448775,1.2953293745940475,30.31290866215489
2025-10-22,0.014645945559526,1.0301300155431987,2.7191898311343703,4.922629574824862,4.593431350021278,5.452477256749641,1.182674791475717,19.752454343751783
2025-10-23,0.0016506746065021,0.7262043645306524,2.588904238199576,5.155986754163397,4.920978011846488,5.774121201785287,1.2788359687198172,20.26926329872549
2025-10-24,5.710636540890797e-05,0.2136733337786106,1.1977730297628355,3.7517104826573218,4.250655343749074,5.526703387701811,1.2336447960190922,15.99819271210077
2025-10-25,0.0,0.0654181330662475,0.4909429002715351,2.5292282363461367,3.370765706763576,5.039994650753918,1.1644839769473745,12.49613700783546
2025-10-26,0.0,0.0196077395774713,0.2502477699874443,2.0076628376859693,2.8569324696817526,4.415746343876478,0.9840419480912892,10.392262425077002
2025-10-27,0.0,0.0031210755232115,0.1073716026658496,1.3269878453585346,2.258899346267911,3.9780829627356953,0.8765611046819975,8.424433506750288
2025-10-28,0.0,0.0005440101147701,0.034138487352022,0.715524757354546,1.5674499705096203,3.2392073334038565,0.7258488923195464,6.17941271067519
2025-10-29,0.0,9.32365873575344e-08,0.0097762077923825,0.3633491206593547,1.0642703940251208,2.5569085953450394,0.6166454752094649,4.526537380287805
2025-10-30,0.0,5.179811117119268e-08,0.0031239276055625,0.1677897328716391,0.7464249066712533,2.038284109001984,0.5321362800840417,3.4176295008783435
2025-10-31,0.0,0.0,0.0001502465561839,0.0559584054634602,0.4499020383796466,1.458294021706427,0.4288342885833333,2.339524297501632
2025-11-01,0.0,0.0,0.0,0.0192810096833057,0.3104994090271945,1.1126257904020058,0.3598587133383672,1.7589305567156035
2025-11-02,0.0,0.0,0.0,0.0042934154601816,0.1919630711007459,0.7997486407621196,0.279310064351427,1.2426913597484006
2025-11-03,0.0,0.0,0.0,0.0004860155266951,0.1233461602222672,0.6331454039535642,0.2315878453828746,0.9620563601799514
2025-11-04,0.0,0.0,0.0,0.0003072104701303,0.0983640991220899,0.5365644216955281,0.1874069907359462,0.8009024349753662
2025-11-05,0.0,0.0,0.0,0.0001617553008707,0.066480721403361,0.3744443002481648,0.1215458828690752,0.5481962822135888
2025-11-06,0.0,0.001423392754299,0.0383980104212415,0.2043450302179007,0.2127583719613685,0.3222437998845504,0.0759421427598276,0.8445395128138424
2025-11-07,0.0,0.0,0.000412995266007,0.0223979499779471,0.0931987423984086,0.2030526733680256,0.0486206626364644,0.3609544494236425
2025-11-08,0.0,0.0,0.0,0.000148859541259,0.0335712828344699,0.1232514866806048,0.0348105530772143,0.1873796879782543
2025-11-09,0.0,0.0,0.0,9.55190403479343e-05,0.0172045174766713,0.0605297955749416,0.0223779697915127,0.097627873847228
2025-11-10,0.0,0.0,0.0,3.165538605499657e-05,0.005757966241922,0.0273820376456338,0.0156525820340533,0.0472335908985167
