time,pillow,method,QUALITYSCORE,severity,flag,reason_code,reason_detail,cur_mm,prev_mm,diff_mm,peer_median_mm,resid_mm,thr_mm,sigma_mm,n_peers_used,peers_used,missing_today_flag,phys_flag,nan_transition_flag,dswe_flag,pred_flag,pred_check_skipped,pred_skip_reason,dq_lo,dq_hi,snow_present_mm,melt_gate,vote_ok_frac,ok_frac_thresh,voters_used,voters_dropped,n_vote_records,dynamic_voters,n_dynamic_voters,use_delta,voters_list,vote_check_skipped,vote_skip_reason,pred_method,pred_method_used,dswe_mm,yhat_mm,se_pred_mm,h0,hist_dq_lo,hist_dq_hi
2025-10-01,SWM,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,40.67068320000002,11.297412000000007,5.0,"KUB,SLK,KSP,CHM,TUM",0,0,0,0,0,0.0,,-35.36950000000003,49.78399999999999,,,,,,,,,,,,,,,,,,,,,
2025-10-01,TMR,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,61.00602479999987,16.946117999999966,5.0,"CHM,GRM,SLK,TUM,KUB",0,0,0,0,0,0.0,,-50.800000000000004,67.05599999999997,,,,,,,,,,,,,,,,,,,,,
2025-10-01,TNY,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,56.93895648000004,15.81637680000001,5.0,"STR,KUB,CHM,MHP,KSP",0,0,0,0,0,0.0,,-49.034699999999994,72.42809999999949,,,,,,,,,,,,,,,,,,,,,
2025-10-01,TUM,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,143.02523591999997,39.72923219999999,5.0,"TMR,CHM,KUB,STR,KSP",0,0,0,0,0,0.0,,-42.672,51.57216000000019,,,,,,,,,,,,,,,,,,,,,
2025-10-01,UBC,static,0.0,0.0,0,OK,,0.0,0.0,0.0,0.0,0.0,104.38808688,28.9966908,4.0,"MHP,KUB,STR,CHM",0,0,0,0,0,0.0,,-63.536830000000016,85.70849000000028,,,,,,,,,,,,,,,,,,,,,
2025-10-01,VLC,static,2.0,2.0,1,MISSING_TODAY,,,,,,,,,0.0,,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,WWC,static,2.0,2.0,1,MISSING_TODAY,,,,,,,,,0.0,,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,AGP,voting,1.0,1.0,1,MISSING_TODAY,current value is NaN,,,,,,,,,,1,0,0,0,0,1.0,not_applicable,,,,0.0,,0.6,0.0,0.0,0.0,1.0,5.0,1.0,"KSP,TNY,MHP,CHM,SLK",0.0,,,,,,,,,
2025-10-01,BCB,voting,0.0,0.0,0,OK,,7.112,7.112,0.0,,,,,,,0,0,0,0,0,0.0,not_applicable,-83.05799999999999,114.91467999999955,,1.0,1.0,0.6,4.0,1.0,5.0,1.0,5.0,1.0,"FLV,KUB,KUP,TNY,MHP",1.0,melt_gate<50.0mm,,,,,,,,
2025-10-01,BGP,voting,1.0,1.0,1,MISSING_TODAY,current value is NaN,,,,,,,,,,1,0,0,0,0,1.0,not_applicable,,,,0.0,,0.6,0.0,0.0,0.0,1.0,5.0,1.0,"KUB,FLV,MHP,TNY,KUP",0.0,,,,,,,,,
